"x","y","first_image","second_image","rad","delay1","delay2","delay3","delay4","delay5"
27,588,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
27,639,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
78,690,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
27,741,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
27,282,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
78,231,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
27,180,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
78,129,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
27,129,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
78,78,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
129,78,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
129,129,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
180,180,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
180,129,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
129,180,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
78,180,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
129,282,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
486,231,"Scene31_CON.png","Scene31_SEM.png",43.5,2000,3000,4000,0,1000
537,231,"Scene31_CON.png","Scene31_SEM.png",43.5,2000,3000,4000,0,1000
588,231,"Scene31_CON.png","Scene31_SEM.png",43.5,2000,3000,4000,0,1000
639,231,"Scene31_CON.png","Scene31_SEM.png",43.5,2000,3000,4000,0,1000
639,282,"Scene31_CON.png","Scene31_SEM.png",43.5,2000,3000,4000,0,1000
690,282,"Scene31_CON.png","Scene31_SEM.png",43.5,2000,3000,4000,0,1000
690,333,"Scene31_CON.png","Scene31_SEM.png",43.5,2000,3000,4000,0,1000
639,333,"Scene31_CON.png","Scene31_SEM.png",43.5,2000,3000,4000,0,1000
588,282,"Scene31_CON.png","Scene31_SEM.png",43.5,2000,3000,4000,0,1000
537,282,"Scene31_CON.png","Scene31_SEM.png",43.5,2000,3000,4000,0,1000
486,282,"Scene31_CON.png","Scene31_SEM.png",43.5,2000,3000,4000,0,1000
537,333,"Scene31_CON.png","Scene31_SEM.png",43.5,2000,3000,4000,0,1000
588,333,"Scene31_CON.png","Scene31_SEM.png",43.5,2000,3000,4000,0,1000
129,333,"Scene32_CON.png","Scene32_SEM.png",43.5,2000,3000,4000,0,1000
180,333,"Scene32_CON.png","Scene32_SEM.png",43.5,2000,3000,4000,0,1000
