RootScene,MorphScene,Patch,Meaning,Saliency,Attention,MeaningSaliencyDiff,MeaningContrast,Patch_X,Patch_Y,possiblePatchesN,type
target_temple.png,target_temple_HighMean.png,64,0.856,0.244,0.279,0.612,1.138,299.500,469.000,6,HighMean
target_temple.png,target_temple_LowMean.png,15,-0.282,0.281,0.187,-0.564,1.138,214.500,129.000,6,LowMean
target_toystore.png,target_toystore_HighMean.png,28,0.852,0.313,0.432,0.539,0.731,299.500,214.000,5,HighMean
target_toystore.png,target_toystore_LowMean.png,93,0.121,0.177,-0.363,-0.056,0.731,724.500,639.000,5,LowMean
target_train.png,target_train_HighMean.png,77,0.964,0.347,-0.184,0.617,1.064,384.500,554.000,10,HighMean
target_train.png,target_train_LowMean.png,21,-0.100,0.233,-0.350,-0.334,1.064,724.500,129.000,10,LowMean
target_treehouse.png,target_treehouse_HighMean.png,52,0.896,0.248,-0.036,0.649,0.904,299.500,384.000,5,HighMean
target_treehouse.png,target_treehouse_LowMean.png,16,-0.007,0.180,-0.169,-0.187,0.904,299.500,129.000,5,LowMean
target_tunnel.png,target_tunnel_HighMean.png,20,0.555,0.157,-0.521,0.398,0.964,639.500,129.000,6,HighMean
target_tunnel.png,target_tunnel_LowMean.png,83,-0.409,0.194,-0.074,-0.603,0.964,894.500,554.000,6,LowMean
target_warehouse.png,target_warehouse_HighMean.png,52,1.562,0.309,0.510,1.252,1.595,299.500,384.000,8,HighMean
target_warehouse.png,target_warehouse_LowMean.png,93,-0.033,0.313,-0.280,-0.346,1.595,724.500,639.000,8,LowMean
target_waterfall.png,target_waterfall_HighMean.png,31,1.270,0.315,1.406,0.955,1.497,554.500,214.000,7,HighMean
target_waterfall.png,target_waterfall_LowMean.png,35,-0.227,0.268,-0.403,-0.495,1.497,894.500,214.000,7,LowMean
target_waterpark.png,target_waterpark_HighMean.png,46,0.330,0.345,-0.050,-0.015,0.529,809.500,299.000,5,HighMean
target_waterpark.png,target_waterpark_LowMean.png,83,-0.199,0.228,-0.120,-0.428,0.529,894.500,554.000,5,LowMean
target_winecellar.png,target_winecellar_HighMean.png,77,0.902,0.246,-0.352,0.656,1.134,384.500,554.000,8,HighMean
target_winecellar.png,target_winecellar_LowMean.png,35,-0.232,0.275,-0.373,-0.507,1.134,894.500,214.000,8,LowMean
target_workshop_IDS01.png,target_workshop_IDS01_HighMean.png,40,1.338,0.200,0.915,1.138,1.384,299.500,299.000,9,HighMean
target_workshop_IDS01.png,target_workshop_IDS01_LowMean.png,21,-0.045,0.194,0.186,-0.239,1.384,724.500,129.000,9,LowMean
demo.png,demo_HighMean.png,57,999.000,999.000,999.000,999.000,999.000,724.500,384.000,999,HighMean
demo.png,demo_LowMean.png,32,999.000,999.000,999.000,999.000,999.000,639.500,214.000,999,LowMean
